Altitude(m)	beta_aerosol(m^-1 sr^-1)	beta_molecular(m^-1 sr^-1)
3661.0154	1.69240937191e-07	1.04474628963e-06
3668.48686	2.10156560343e-07	1.04392965706e-06
3675.95832	2.41590108141e-07	1.04311351292e-06
3683.42978	2.08517953026e-07	1.04229785702e-06
3690.90124	2.87544396519e-07	1.04148268915e-06
3698.3727	2.05615960662e-07	1.04066800911e-06
3705.84416	2.19614142879e-07	1.0398538167e-06
3713.31562	3.0184516273e-07	1.03904011171e-06
3720.78708	2.69273316452e-07	1.03822689394e-06
3728.25854	3.11839292719e-07	1.0374141632e-06
3735.73	1.99726329234e-07	1.03660191927e-06
3743.20146	3.13814061768e-07	1.03579016196e-06
3750.67292	3.1252395293e-07	1.03497889106e-06
3758.14438	2.83659943599e-07	1.03416810638e-06
3765.61584	2.89018743774e-07	1.03335780771e-06
3773.0873	2.9323000812e-07	1.03254799484e-06
3780.55876	2.50981084879e-07	1.03173866758e-06
3788.03022	2.79437606699e-07	1.03092982573e-06
3795.50168	2.84696346287e-07	1.03012146907e-06
3802.97314	2.8172839039e-07	1.02931359742e-06
3810.4446	2.73964481472e-07	1.02850621057e-06
3817.91606	3.11172587341e-07	1.02769930832e-06
3825.38752	2.45026750744e-07	1.02689289046e-06
3832.85898	2.72745502178e-07	1.0260869568e-06
3840.33044	2.95879419339e-07	1.02528150713e-06
3847.8019	2.79367726744e-07	1.02447654126e-06
3855.27336	3.1355837412e-07	1.02367205897e-06
3862.74482	2.82312024149e-07	1.02286806008e-06
3870.21628	2.92283178051e-07	1.02206454437e-06
3877.68774	3.95587030211e-07	1.02126151165e-06
3885.1592	3.4452679536e-07	1.02045896171e-06
3892.63066	3.02840248765e-07	1.01965689436e-06
3900.10212	2.70664231319e-07	1.01885530939e-06
3907.57358	3.23022665771e-07	1.0180542066e-06
3915.04504	3.65806291671e-07	1.0172535858e-06
3922.5165	3.46016293426e-07	1.01645344677e-06
3929.98796	3.32317878535e-07	1.01565378933e-06
3937.45942	3.09564882263e-07	1.01485461326e-06
3944.93088	3.19697835843e-07	1.01405591837e-06
3952.40234	4.01560388079e-07	1.01325770446e-06
3959.8738	2.849349917e-07	1.01245997133e-06
3967.34526	4.18845681183e-07	1.01166271876e-06
3974.81672	4.49000181063e-07	1.01086594658e-06
